단지코드,총세대수,임대건물구분,지역,공급유형,전용면적,전용면적별세대수,공가수,자격유형,임대보증금,임대료,지하철수,버정수,단지내주차면수
C1072,754,1,4,1,39.79,116,14.0,8,22830000.0,189840.0,0.0,2.0,683.0
C1072,754,1,4,1,46.81,30,14.0,1,36048000.0,249930.0,0.0,2.0,683.0
C1072,754,1,4,1,46.9,112,14.0,8,36048000.0,249930.0,0.0,2.0,683.0
C1072,754,1,4,1,46.9,120,14.0,8,36048000.0,249930.0,0.0,2.0,683.0
C1072,754,1,4,1,51.46,60,14.0,8,43497000.0,296780.0,0.0,2.0,683.0
C1072,754,1,4,1,51.71,51,14.0,8,43497000.0,296780.0,0.0,2.0,683.0
C1072,754,1,4,1,51.96,198,14.0,8,43497000.0,296780.0,0.0,2.0,683.0
C1072,754,1,4,1,51.96,67,14.0,8,43497000.0,296780.0,0.0,2.0,683.0
C1128,1354,1,4,1,39.79,368,9.0,8,22830000.0,189840.0,0.0,3.0,1216.0
C1128,1354,1,4,1,39.79,30,9.0,8,22830000.0,189840.0,0.0,3.0,1216.0
C1128,1354,1,4,1,39.79,22,9.0,1,22830000.0,189840.0,0.0,3.0,1216.0
C1128,1354,1,4,1,46.81,60,9.0,1,36048000.0,249930.0,0.0,3.0,1216.0
C1128,1354,1,4,1,46.9,116,9.0,1,36048000.0,249930.0,0.0,3.0,1216.0
C1128,1354,1,4,1,46.9,180,9.0,8,36048000.0,249930.0,0.0,3.0,1216.0
C1128,1354,1,4,1,51.71,24,9.0,1,43497000.0,296780.0,0.0,3.0,1216.0
C1128,1354,1,4,1,51.96,416,9.0,8,43497000.0,296780.0,0.0,3.0,1216.0
C1128,1354,1,4,1,51.96,138,9.0,8,43497000.0,296780.0,0.0,3.0,1216.0
C1456,619,1,9,1,33.4,82,18.0,1,19706000.0,156200.0,0.0,16.0,547.0
C1456,619,1,9,1,39.57,115,18.0,1,26435000.0,192250.0,0.0,16.0,547.0
C1456,619,1,9,1,39.57,35,18.0,1,26435000.0,192250.0,0.0,16.0,547.0
C1456,619,1,9,1,39.94,15,18.0,1,26435000.0,192250.0,0.0,16.0,547.0
C1456,619,1,9,1,46.9,24,18.0,1,36048000.0,234300.0,0.0,16.0,547.0
C1456,619,1,9,1,46.9,86,18.0,1,36048000.0,234300.0,0.0,16.0,547.0
C1456,619,1,9,1,46.9,86,18.0,1,36048000.0,234300.0,0.0,16.0,547.0
C1456,619,1,9,1,51.93,132,18.0,1,43257000.0,264350.0,0.0,16.0,547.0
C1456,619,1,9,1,59.96,44,18.0,1,55275000.0,312420.0,0.0,16.0,547.0
C1840,593,1,5,1,39.57,253,7.0,1,14418000.0,108130.0,0.0,3.0,543.0
