단지코드,총세대수,임대건물구분,지역,공급유형,전용면적,전용면적별세대수,공가수,자격유형,임대보증금,임대료,지하철수,버정수,단지내주차면수,등록차량수
C2515,545,1,2,1,33.48,276,17.0,1,9216000.0,82940.0,0.0,3.0,624.0,205.0
C2515,545,1,2,1,39.6,60,17.0,1,12672000.0,107130.0,0.0,3.0,624.0,205.0
C2515,545,1,2,1,39.6,20,17.0,1,12672000.0,107130.0,0.0,3.0,624.0,205.0
C2515,545,1,2,1,46.9,38,17.0,1,18433000.0,149760.0,0.0,3.0,624.0,205.0
C2515,545,1,2,1,46.9,19,17.0,1,18433000.0,149760.0,0.0,3.0,624.0,205.0
C2515,545,1,2,1,51.97,106,17.0,1,23042000.0,190090.0,0.0,3.0,624.0,205.0
C2515,545,1,2,1,51.97,26,17.0,1,23042000.0,190090.0,0.0,3.0,624.0,205.0
C1407,1216,1,3,1,30.95,288,13.0,1,15620000.0,127350.0,1.0,1.0,1285.0,1064.0
C1407,1216,1,3,1,30.99,68,13.0,1,15620000.0,127350.0,1.0,1.0,1285.0,1064.0
C1407,1216,1,3,1,30.99,34,13.0,1,15620000.0,127350.0,1.0,1.0,1285.0,1064.0
C1407,1216,1,3,1,41.11,148,13.0,1,27637000.0,164610.0,1.0,1.0,1285.0,1064.0
C1407,1216,1,3,1,41.39,74,13.0,1,27637000.0,164610.0,1.0,1.0,1285.0,1064.0
C1407,1216,1,3,1,41.58,70,13.0,1,27637000.0,164610.0,1.0,1.0,1285.0,1064.0
C1407,1216,1,3,1,41.58,70,13.0,1,27637000.0,164610.0,1.0,1.0,1285.0,1064.0
C1407,1216,1,3,1,46.36,170,13.0,1,36048000.0,198250.0,1.0,1.0,1285.0,1064.0
C1407,1216,1,3,1,46.36,170,13.0,1,36048000.0,198250.0,1.0,1.0,1285.0,1064.0
C1407,1216,1,3,1,51.24,62,13.0,1,42056000.0,253520.0,1.0,1.0,1285.0,1064.0
C1407,1216,1,3,1,51.24,62,13.0,1,42056000.0,253520.0,1.0,1.0,1285.0,1064.0
C1945,755,1,4,1,39.72,120,6.0,2,15607000.0,130070.0,1.0,3.0,734.0,730.0
C1945,755,1,4,1,39.72,120,6.0,2,15607000.0,130070.0,1.0,3.0,734.0,730.0
C1945,755,1,4,1,51.93,207,6.0,2,23139000.0,193230.0,1.0,3.0,734.0,730.0
C1945,755,1,4,1,51.93,96,6.0,2,23139000.0,193230.0,1.0,3.0,734.0,730.0
C1945,755,1,4,1,59.88,160,6.0,2,29209000.0,244020.0,1.0,3.0,734.0,730.0
C1945,755,1,4,1,59.88,52,6.0,2,29209000.0,244020.0,1.0,3.0,734.0,730.0
C1470,696,1,5,1,36.55,228,14.0,1,12015000.0,102130.0,0.0,2.0,645.0,553.0
C1470,696,1,5,1,36.55,26,14.0,1,12015000.0,102130.0,0.0,2.0,645.0,553.0
C1470,696,1,5,1,46.9,196,14.0,1,21628000.0,132160.0,0.0,2.0,645.0,553.0
C1470,696,1,5,1,51.93,246,14.0,1,25233000.0,144180.0,0.0,2.0,645.0,553.0
C1898,566,1,5,1,36.55,230,9.0,1,12015000.0,102130.0,0.0,6.0,517.0,415.0
C1898,566,1,5,1,36.55,28,9.0,1,12015000.0,102130.0,0.0,6.0,517.0,415.0
C1898,566,1,5,1,36.62,13,9.0,1,12015000.0,102130.0,0.0,6.0,517.0,415.0
C1898,566,1,5,1,46.9,194,9.0,1,21628000.0,132160.0,0.0,6.0,517.0,415.0
C1898,566,1,5,1,46.9,15,9.0,1,21628000.0,132160.0,0.0,6.0,517.0,415.0
C1898,566,1,5,1,51.93,86,9.0,1,25233000.0,144180.0,0.0,6.0,517.0,415.0
C1244,1722,1,4,1,39.62,275,10.0,1,29551000.0,203030.0,0.0,10.0,1483.0,1804.0
C1244,1722,1,4,1,39.62,126,10.0,1,29551000.0,203030.0,0.0,10.0,1483.0,1804.0
C1244,1722,1,4,1,39.62,168,10.0,1,29551000.0,203030.0,0.0,10.0,1483.0,1804.0
C1244,1722,1,4,1,39.72,219,10.0,1,29551000.0,203030.0,0.0,10.0,1483.0,1804.0
C1244,1722,1,4,1,46.73,98,10.0,1,43990000.0,304540.0,0.0,10.0,1483.0,1804.0
C1244,1722,1,4,1,46.81,144,10.0,1,43990000.0,304540.0,0.0,10.0,1483.0,1804.0
C1244,1722,1,4,1,46.81,76,10.0,1,43990000.0,304540.0,0.0,10.0,1483.0,1804.0
C1244,1722,1,4,1,46.81,76,10.0,1,43990000.0,304540.0,0.0,10.0,1483.0,1804.0
C1244,1722,1,4,1,46.95,75,10.0,1,43990000.0,304540.0,0.0,10.0,1483.0,1804.0
C1244,1722,1,4,1,46.95,75,10.0,1,43990000.0,304540.0,0.0,10.0,1483.0,1804.0
C1244,1722,1,4,1,51.78,232,10.0,1,49854000.0,338380.0,0.0,10.0,1483.0,1804.0
C1244,1722,1,4,1,51.78,83,10.0,1,49854000.0,338380.0,0.0,10.0,1483.0,1804.0
C1244,1722,1,4,1,51.95,75,10.0,1,49854000.0,338380.0,0.0,10.0,1483.0,1804.0
C1171,624,1,3,1,33.38,190,13.0,1,17730000.0,118190.0,0.0,5.0,634.0,700.0
C1171,624,1,3,1,39.46,106,13.0,1,23641000.0,141840.0,0.0,5.0,634.0,700.0
C1171,624,1,3,1,39.46,43,13.0,1,23641000.0,141840.0,0.0,5.0,634.0,700.0
C1171,624,1,3,1,39.46,15,13.0,1,23641000.0,141840.0,0.0,5.0,634.0,700.0
C1171,624,1,3,1,46.66,38,13.0,1,35462000.0,189130.0,0.0,5.0,634.0,700.0
C1171,624,1,3,1,46.66,15,13.0,1,35462000.0,189130.0,0.0,5.0,634.0,700.0
C1171,624,1,3,1,46.87,46,13.0,1,35462000.0,189130.0,0.0,5.0,634.0,700.0
C1171,624,1,3,1,46.87,23,13.0,1,35462000.0,189130.0,0.0,5.0,634.0,700.0
C1171,624,1,3,1,46.88,78,13.0,1,35462000.0,189130.0,0.0,5.0,634.0,700.0
C1171,624,1,3,1,46.88,30,13.0,1,35462000.0,189130.0,0.0,5.0,634.0,700.0
C1171,624,1,3,1,51.96,20,13.0,1,41372000.0,236410.0,0.0,5.0,634.0,700.0
C1171,624,1,3,1,51.96,20,13.0,1,41372000.0,236410.0,0.0,5.0,634.0,700.0
C2073,361,1,6,1,39.63,94,13.0,1,10813000.0,144180.0,0.0,5.0,288.0,301.0
C2073,361,1,6,1,39.63,74,13.0,1,10813000.0,144180.0,0.0,5.0,288.0,301.0
C2073,361,1,6,1,46.9,97,13.0,1,16821000.0,205460.0,0.0,5.0,288.0,301.0
C2073,361,1,6,1,46.9,46,13.0,1,16821000.0,205460.0,0.0,5.0,288.0,301.0
C2073,361,1,6,1,46.96,10,13.0,1,16821000.0,205460.0,0.0,5.0,288.0,301.0
C2073,361,1,6,1,59.89,40,13.0,1,25233000.0,283560.0,0.0,5.0,288.0,301.0
C2513,754,1,7,1,51.88,517,15.0,1,32443000.0,192250.0,0.0,6.0,530.0,820.0
C2513,754,1,7,1,51.88,179,15.0,1,32443000.0,192250.0,0.0,6.0,530.0,820.0
C2513,754,1,7,1,51.93,58,15.0,1,32443000.0,192250.0,0.0,6.0,530.0,820.0
C1936,240,1,7,1,51.88,120,8.0,1,32443000.0,192250.0,0.0,10.0,168.0,234.0
C1936,240,1,7,1,51.88,60,8.0,1,32443000.0,192250.0,0.0,10.0,168.0,234.0
C1936,240,1,7,1,51.88,20,8.0,1,32443000.0,192250.0,0.0,10.0,168.0,234.0
C1936,240,1,7,1,51.93,40,8.0,1,32443000.0,192250.0,0.0,10.0,168.0,234.0
C2049,688,1,6,1,51.49,178,0.0,1,15271000.0,78230.0,0.0,5.0,631.0,841.0
C2049,688,1,6,1,51.95,360,0.0,1,15407000.0,88400.0,0.0,5.0,631.0,841.0
C2049,688,1,6,1,59.64,150,0.0,1,17687000.0,100260.0,0.0,5.0,631.0,841.0
C2202,623,1,6,2,37.67,89,0.0,1,9714000.0,145940.0,0.0,2.0,222.0,226.0
C2202,623,1,6,2,42.9,354,0.0,1,10244000.0,152280.0,0.0,2.0,222.0,226.0
C2202,623,1,6,2,49.44,180,0.0,1,11807000.0,171230.0,0.0,2.0,222.0,226.0
C1925,601,1,6,3,26.37,298,9.0,3,8052000.0,130850.0,0.0,4.0,117.0,75.0
C1925,601,1,6,3,31.32,298,9.0,3,9174000.0,144460.0,0.0,4.0,117.0,75.0
C1925,601,2,6,4,32.1,1,9.0,4,0.0,0.0,0.0,4.0,117.0,75.0
C1925,601,2,6,4,32.1,1,9.0,4,0.0,0.0,0.0,4.0,117.0,75.0
C1925,601,2,6,4,32.1,1,9.0,4,0.0,0.0,0.0,4.0,117.0,75.0
C1925,601,2,6,4,72.16,1,9.0,4,0.0,0.0,0.0,4.0,117.0,75.0
C2576,405,1,2,1,46.9,313,19.0,1,19436000.0,161780.0,0.0,4.0,296.0,73.0
C2576,405,1,2,1,59.88,92,19.0,1,28252000.0,235420.0,0.0,4.0,296.0,73.0
C2650,875,1,9,1,36.44,557,13.0,1,11492000.0,104930.0,0.0,4.0,616.0,159.0
C2650,875,1,9,1,45.09,20,13.0,1,14215000.0,141630.0,0.0,4.0,616.0,159.0
C2650,875,1,9,1,45.32,298,13.0,1,14292000.0,141630.0,0.0,4.0,616.0,159.0
C2416,560,1,2,3,26.34,360,0.0,3,3138000.0,69820.0,0.0,5.0,154.0,63.0
C2416,560,1,2,3,30.48,192,0.0,3,3631000.0,80800.0,0.0,5.0,154.0,63.0
